efta_number,dataset,classification,sensitivity,justification,removed_lines,added_lines,is_interesting,llm_reasoning
EFTA00924970,9,EMAILS_REMOVED,HIGH,SUSPICIOUS,6,6,1,"The removal of specific email content, including a threatening message, suggests an attempt to conceal potentially incriminating information."
EFTA00968412,9,EMAILS_REMOVED,HIGH,SUSPICIOUS,3,3,1,"The removal of specific email content, particularly the mention of 'compromising pics', suggests an attempt to conceal evidence or investigative leads."
EFTA01375243,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,5,5,1,"The removal of specific account numbers and beneficiary names, while adding redundant text, suggests an attempt to obscure financial connections or investigative scope."
EFTA01483479,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,42,26,1,"The removal and addition of financial account information appears to be an attempt to conceal or alter the scope of investigative records, which is suspicious."
EFTA01577304,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,6,0,1,"The removal of multiple bank account numbers and the addition of dollar signs suggests an attempt to conceal financial information, which is suspicious in a document related to a high-profile investigation."
EFTA01577311,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,6,0,1,"The removal of multiple financial account numbers and the addition of a blank line suggests an attempt to conceal or obscure financial transactions related to the investigation."
EFTA01595467,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,110,96,1,"The removal of financial transaction details and addition of new transactions with altered dates and amounts suggests an attempt to obscure or alter the investigative scope."
EFTA01595509,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,96,88,1,"The removal of specific transaction details and account information, such as debit card purchases and loan payments, suggests an attempt to obscure the financial activities associated with the accounts."
EFTA01595541,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,25,14,1,"The removal and addition of financial account information, including bank names, account numbers, and transaction dates, suggests an attempt to obscure or alter the scope of investigative records."
EFTA01595566,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,118,107,1,"The removal of specific debit card transactions and the addition of seemingly unrelated text suggests an attempt to obscure or manipulate financial records, which is a critical aspect of investigative scope."
EFTA01595575,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,31,28,1,"The removal of financial account information and the addition of seemingly unrelated text suggests an attempt to obscure or manipulate the document's content, potentially hiding investigative connections or evidence scope."
EFTA00204035,9,FINANCIAL_RECORD,HIGH,SUSPICIOUS,34283,31372,1,"The removal of financial data, including account numbers and transaction details, could be hiding connections or evidence scope related to Jeffrey Epstein's financial activities."
EFTA01265800,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,252,246,1,"The removal of sensitive financial information, such as wire transfer records and consumer PII, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01284803,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,373,357,1,"The removal of financial data, including transaction details and account balances, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01299451,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,61,76,1,"The removal of financial transaction details and bank account information suggests an attempt to obscure investigative connections or evidence scope, which is suspicious."
EFTA01299522,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,154,138,1,"The removal of financial data, including bank account numbers and transaction details, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01299584,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,137,140,1,"The removal of financial data, such as wire transfer amounts and bank account information, could be attempting to obscure connections or evidence scope in the investigation."
EFTA01299649,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,122,126,1,"The removal of financial transaction details, including wire transfers and account information, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01299711,10,FINANCIAL_RECORD,HIGH,SUSPICIOUS,194,189,1,"The removal of financial data, including transaction amounts and account information, could be intended to obscure investigative connections or evidence scope."
EFTA01649057,10,LAW_ENFORCEMENT,HIGH,SUSPICIOUS,28,28,1,"The removal of specific FBI agent names and email addresses, as well as the alteration of a sensitive investigative file reference number (31E-MM-108062), suggests an attempt to obscure connections between law enforcement agencies or individuals involved in the investigation."
EFTA00147886,9,LAW_ENFORCEMENT,HIGH,SUSPICIOUS,26,25,1,"The removal of specific FBI email threads and the addition of identical but slightly altered content suggests an attempt to obscure or manipulate investigative communications."
EFTA00208790,9,LEGAL_DOCUMENT,HIGH,SUSPICIOUS,4,4,1,"The removal of specific names (Jane Doe #1 and Jane Doe #2) from the document, while replacing them with generic placeholders, suggests an attempt to obscure investigative connections or evidence scope."
EFTA00208818,9,LEGAL_DOCUMENT,HIGH,SUSPICIOUS,3,3,1,"The removal and addition of specific text appears to be an attempt to alter the document's content, potentially obscuring investigative connections or evidence scope."
EFTA01356710,10,NAME_REMOVAL,HIGH,SUSPICIOUS,25,23,1,"The removal of specific names and details from the document appears to be an attempt to obscure investigative connections or evidence scope, particularly in relation to a court case and financial associations."
EFTA01357051,10,NAME_REMOVAL,HIGH,SUSPICIOUS,25,13,1,"The removal of multiple aliases and personal identifiers for individuals, including Social Security numbers and dates of birth, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01357341,10,NAME_REMOVAL,HIGH,SUSPICIOUS,45,41,1,"The removal of specific person names, such as Jeffrey Epstein and Fis, appears to be an attempt to obscure investigative connections or evidence scope."
EFTA01357455,10,NAME_REMOVAL,HIGH,SUSPICIOUS,47,46,1,"The removal of specific names and the addition of seemingly unrelated text suggests an attempt to obscure investigative connections or evidence scope."
EFTA01358502,10,NAME_REMOVAL,HIGH,SUSPICIOUS,19,14,1,"The removal of specific names and addition of altered text suggests an attempt to conceal or manipulate the document's content, potentially obscuring investigative connections."
EFTA01362089,10,NAME_REMOVAL,HIGH,SUSPICIOUS,7,9,1,"The removal of specific names and dates appears to be an attempt to obscure investigative connections, particularly the mention of 'LSJE xxxx9295 wire' which could refer to a specific case or individual."
EFTA01362209,10,NAME_REMOVAL,HIGH,SUSPICIOUS,9,10,1,"The removal of specific names and phone numbers, while adding similar but altered text, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01363625,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,6,1,"The removal of specific names (Gitlin -> Gillin) and alteration of reference numbers suggests an attempt to obscure or alter the identity of individuals involved in the wire transfer."
EFTA01367972,10,NAME_REMOVAL,HIGH,SUSPICIOUS,20,19,1,"The removal of specific names, such as 'Bella', 'Avrolc', and 'Margherita CampclIn Della Spina', appears to be an attempt to conceal identities, which is suspicious in the context of a law enforcement investigation."
EFTA01372875,10,NAME_REMOVAL,HIGH,SUSPICIOUS,38,31,1,"The removal of specific person names, such as 'Harry Beller', and the alteration of surrounding text to obscure connections between individuals suggests an attempt to conceal investigative information."
EFTA01402667,10,NAME_REMOVAL,HIGH,SUSPICIOUS,15,17,1,"The removal of specific names and contact information appears to be an attempt to obscure connections between individuals, which could hinder investigative efforts."
EFTA01402673,10,NAME_REMOVAL,HIGH,SUSPICIOUS,12,9,1,"The removal of specific names and phone numbers appears to be an attempt to obscure investigative connections, particularly the Fed references IMAD1105B1Q8383C017418 and IMAD110581Q8383C017391."
EFTA01402700,10,NAME_REMOVAL,HIGH,SUSPICIOUS,15,20,1,"The removal of specific names and contact information, particularly from a financial context, suggests an attempt to conceal connections or investigative scope."
EFTA01403036,10,NAME_REMOVAL,HIGH,SUSPICIOUS,6,2,1,"The removal of specific account holder names and the addition of a generic placeholder suggests an attempt to conceal identities, which is suspicious in the context of a financial record."
EFTA01407994,10,NAME_REMOVAL,HIGH,SUSPICIOUS,11,15,1,"The removal of specific names and account numbers appears to be an attempt to obscure connections between individuals and financial transactions, which could be relevant to the investigation."
EFTA01412002,10,NAME_REMOVAL,HIGH,SUSPICIOUS,11,13,1,"The removal of specific names, including Emery I Poleon and Bella Klein, from the document suggests an attempt to obscure connections or investigative scope."
EFTA01412194,10,NAME_REMOVAL,HIGH,SUSPICIOUS,4,5,1,"The removal of specific person names (Aurelija and Marjorie Flash) from the document suggests an attempt to conceal identities, which is suspicious in a law enforcement context."
EFTA01481413,10,NAME_REMOVAL,HIGH,SUSPICIOUS,19,7,1,"The removal of specific names and sensitive information, such as social security numbers and dates of birth, appears to be an attempt to obscure investigative connections or evidence scope."
EFTA01486667,10,NAME_REMOVAL,HIGH,SUSPICIOUS,77,90,1,"The removal of names and phone numbers from the document appears to be an attempt to conceal investigative connections or evidence scope, which is suspicious."
EFTA01486742,10,NAME_REMOVAL,HIGH,SUSPICIOUS,76,65,1,"Multiple names and phone numbers were removed from the document, which appears to be a financial record or transaction log, suggesting an attempt to obscure investigative connections or evidence scope."
EFTA01525148,10,NAME_REMOVAL,HIGH,SUSPICIOUS,28,26,1,"The removal of specific names and phone numbers from the document, particularly those related to Chase Bank and AVILOOP LLC, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01525801,10,NAME_REMOVAL,HIGH,SUSPICIOUS,36,36,1,"The removal of specific names and phone numbers from the document, particularly those associated with financial transactions, suggests an attempt to obscure connections or evidence scope."
EFTA01525956,10,NAME_REMOVAL,HIGH,SUSPICIOUS,29,27,1,"The removal of specific account numbers and names, such as 'AVILOOP LLC' and 'Chase BusinessSelect Checking', suggests an attempt to conceal investigative connections or evidence scope."
EFTA01579906,10,NAME_REMOVAL,HIGH,SUSPICIOUS,16,19,1,"The removal of specific account numbers and names, particularly 'Nadia Mareinkco', suggests an attempt to conceal investigative connections or evidence scope."
EFTA01595367,10,NAME_REMOVAL,HIGH,SUSPICIOUS,69,68,1,"The removal of specific names and content from the document appears to be an attempt to obscure investigative connections or evidence scope, suggesting a suspicious intent."
EFTA01595377,10,NAME_REMOVAL,HIGH,SUSPICIOUS,48,46,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595380,10,NAME_REMOVAL,HIGH,SUSPICIOUS,34,33,1,"The removal of specific names and phone numbers from the document, particularly those related to law enforcement or investigative activities, suggests an attempt to obscure connections or evidence scope."
EFTA01595389,10,NAME_REMOVAL,HIGH,SUSPICIOUS,39,36,1,"The removal of specific names and phone numbers from the document, particularly those related to financial transactions and account information, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595395,10,NAME_REMOVAL,HIGH,SUSPICIOUS,100,94,1,"The removal of names and phone numbers from the document appears to be an attempt to obscure investigative connections, particularly given the context of a high-profile case like Epstein's."
EFTA01595397,10,NAME_REMOVAL,HIGH,SUSPICIOUS,102,94,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections or evidence scope, which is suspicious."
EFTA01595402,10,NAME_REMOVAL,HIGH,SUSPICIOUS,104,93,1,"Multiple names and addresses were removed from the document, which appears to be a financial record of transactions, potentially obscuring investigative connections or evidence scope."
EFTA01595410,10,NAME_REMOVAL,HIGH,SUSPICIOUS,111,94,1,"Multiple names and phone numbers were removed from the document, which could be indicative of an attempt to obscure investigative connections or evidence scope."
EFTA01595412,10,NAME_REMOVAL,HIGH,SUSPICIOUS,91,83,1,"Multiple names and account numbers appear to have been removed from the document, potentially obscuring investigative connections or evidence scope."
EFTA01595413,10,NAME_REMOVAL,HIGH,SUSPICIOUS,31,33,1,"The removal of specific names and phone numbers from the document, particularly those related to individuals or entities involved in law enforcement activities, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595414,10,NAME_REMOVAL,HIGH,SUSPICIOUS,108,100,1,"The removal of specific person names, such as 'Ei Bank', 'Arreleraimi Coenallfi IatIr', and 'A51LO0PIIC', from the document suggests an attempt to conceal identities or connections, which is suspicious in a law enforcement context."
EFTA01595421,10,NAME_REMOVAL,HIGH,SUSPICIOUS,102,91,1,"Multiple names and addresses appear to have been surgically removed from the document, potentially obscuring investigative connections or evidence scope."
EFTA01595422,10,NAME_REMOVAL,HIGH,SUSPICIOUS,20,18,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, particularly in the context of a high-profile case like Epstein's."
EFTA01595424,10,NAME_REMOVAL,HIGH,SUSPICIOUS,100,89,1,"The removal of names and phone numbers from the document appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA01595427,10,NAME_REMOVAL,HIGH,SUSPICIOUS,48,48,1,"The removal of specific names and phone numbers from the document, particularly those related to law enforcement (SDNY_GM_00006218), suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595433,10,NAME_REMOVAL,HIGH,SUSPICIOUS,74,72,1,"Multiple names and phone numbers were removed from the document, which could be an attempt to obscure investigative connections or evidence scope."
EFTA01595438,10,NAME_REMOVAL,HIGH,SUSPICIOUS,86,83,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595443,10,NAME_REMOVAL,HIGH,SUSPICIOUS,72,79,1,"The removal of specific names and account numbers from the document appears to be an attempt to conceal investigative connections or evidence scope, suggesting a suspicious intent."
EFTA01595446,10,NAME_REMOVAL,HIGH,SUSPICIOUS,81,76,1,"The removal of specific names and phone numbers from the document appears to be an attempt to conceal investigative connections or evidence scope, which is suspicious."
EFTA01595456,10,NAME_REMOVAL,HIGH,SUSPICIOUS,39,37,1,"The removal of specific names and phone numbers, particularly those associated with law enforcement or investigative activities (e.g., 'SDNY_GM_0000625'), suggests an attempt to obscure connections or evidence scope."
EFTA01595459,10,NAME_REMOVAL,HIGH,SUSPICIOUS,67,66,1,"Multiple names and phone numbers were removed from the document, which appears to be a financial record related to an investigation, suggesting that the removal may be attempting to obscure investigative connections or evidence scope."
EFTA01595461,10,NAME_REMOVAL,HIGH,SUSPICIOUS,72,65,1,"The removal of specific names and the addition of similar text with different names suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595464,10,NAME_REMOVAL,HIGH,SUSPICIOUS,58,56,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595471,10,NAME_REMOVAL,HIGH,SUSPICIOUS,51,46,1,"The removal of specific names and phone numbers, particularly the addition of a new name 'Paul' and the alteration of dates, suggests an attempt to conceal or alter investigative connections."
EFTA01595490,10,NAME_REMOVAL,HIGH,SUSPICIOUS,26,19,1,"The removal of specific company names and individuals' information, particularly from a FOIA Confidential document, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595493,10,NAME_REMOVAL,HIGH,SUSPICIOUS,73,63,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595494,10,NAME_REMOVAL,HIGH,SUSPICIOUS,20,11,1,"The removal of specific names and account information suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595498,10,NAME_REMOVAL,HIGH,SUSPICIOUS,29,17,1,"The removal of specific names and addresses from the document, particularly those related to individuals or organizations involved in the investigation, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595502,10,NAME_REMOVAL,HIGH,SUSPICIOUS,14,11,1,"The removal and addition of names, specifically 'Amigo' and 'Carnalsit', suggests an attempt to conceal or alter the identities of individuals involved in the case."
EFTA01595503,10,NAME_REMOVAL,HIGH,SUSPICIOUS,86,79,1,"The removal of specific person names, such as 'Paniant Anton 47' and 'Berreng Mende', from the document suggests an attempt to conceal investigative connections or evidence scope."
EFTA01595505,10,NAME_REMOVAL,HIGH,SUSPICIOUS,35,25,1,"The removal of specific names and phone numbers from the document, particularly those related to individuals or entities with potentially sensitive information (e.g., 'Cusl Rao', 'Polars Asecull'), suggests an attempt to conceal investigative connections or evidence scope."
EFTA01595507,10,NAME_REMOVAL,HIGH,SUSPICIOUS,109,82,1,"The removal of names and phone numbers from a document detailing debit card purchases suggests an attempt to conceal the identities of individuals involved, which could be relevant to the investigation."
EFTA01595508,10,NAME_REMOVAL,HIGH,SUSPICIOUS,69,70,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595513,10,NAME_REMOVAL,HIGH,SUSPICIOUS,13,13,1,"The removal of specific names and details from the document, particularly those related to financial transactions and entities, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595517,10,NAME_REMOVAL,HIGH,SUSPICIOUS,67,59,1,"Multiple names and phone numbers were removed from the document, which could be indicative of an attempt to obscure investigative connections or evidence scope."
EFTA01595518,10,NAME_REMOVAL,HIGH,SUSPICIOUS,22,12,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections or evidence scope, particularly given the presence of FOIA Confidential markings."
EFTA01595525,10,NAME_REMOVAL,HIGH,SUSPICIOUS,58,57,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595532,10,NAME_REMOVAL,HIGH,SUSPICIOUS,65,34,1,"The removal of names and phone numbers, particularly from law enforcement records, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595537,10,NAME_REMOVAL,HIGH,SUSPICIOUS,79,74,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595548,10,NAME_REMOVAL,HIGH,SUSPICIOUS,66,68,1,"The removal of specific names and phone numbers from the document, particularly those related to financial transactions and account information, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595549,10,NAME_REMOVAL,HIGH,SUSPICIOUS,42,11,1,"The removal of specific names and the addition of placeholder text suggests an attempt to conceal identities, which is suspicious in a document related to a high-profile case like Epstein's."
EFTA01595555,10,NAME_REMOVAL,HIGH,SUSPICIOUS,38,13,1,"The removal of specific names and the addition of new text with similar formatting suggests an attempt to conceal or alter investigative connections."
EFTA01595563,10,NAME_REMOVAL,HIGH,SUSPICIOUS,61,58,1,"The removal of specific names and phone numbers from the document, particularly those related to financial transactions, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595564,10,NAME_REMOVAL,HIGH,SUSPICIOUS,22,25,1,"The removal and addition of names, particularly 'Amenurs West Canna cat Mr' and 'Arntrkts West Correencnt', suggests an attempt to conceal or alter the identities of individuals involved in the case."
EFTA01595568,10,NAME_REMOVAL,HIGH,SUSPICIOUS,59,58,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595569,10,NAME_REMOVAL,HIGH,SUSPICIOUS,36,26,1,"The removal of specific names and phone numbers from the document, particularly those related to individuals involved in financial transactions, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595572,10,NAME_REMOVAL,HIGH,SUSPICIOUS,36,33,1,"The removal of specific names and phone numbers from the document appears to be an attempt to conceal investigative connections or evidence scope, particularly given the context of a high-profile case like Epstein's."
EFTA01595573,10,NAME_REMOVAL,HIGH,SUSPICIOUS,34,15,1,"The removal of specific names and phone numbers from the document, particularly those related to individuals or entities with suspicious connections (e.g., AVLOOP LLC), suggests an attempt to obscure investigative connections or evidence scope."
EFTA01595621,10,NAME_REMOVAL,HIGH,SUSPICIOUS,99,51,1,"The removal of specific names and phone numbers from the document appears to be an attempt to obscure investigative connections, which is suspicious."
EFTA01595977,10,NAME_REMOVAL,HIGH,SUSPICIOUS,11,9,1,"The removal of the agent's name and badge number (SDNY_GM_00007086) suggests an attempt to conceal investigative connections or evidence scope."
EFTA01611007,10,NAME_REMOVAL,HIGH,SUSPICIOUS,24,13,1,"The removal of specific names, such as 'POILRSEMENCHUR' and 'VIKTORIA', followed by the addition of similar-sounding names, suggests an attempt to conceal or alter identities."
EFTA01613019,10,NAME_REMOVAL,HIGH,SUSPICIOUS,29,27,1,"The removal of specific names and content appears to be an attempt to obscure investigative connections, particularly the mention of a 'very good friend' who tried to make the speaker work at DARPA."
EFTA01618066,10,NAME_REMOVAL,HIGH,SUSPICIOUS,44,29,1,"The removal of specific names and phone numbers, while adding altered versions with similar content, suggests an attempt to obscure connections or investigative scope."
EFTA01622247,10,NAME_REMOVAL,HIGH,SUSPICIOUS,19,15,1,"The removal and addition of names, particularly 'Jeffrey', suggests an attempt to conceal or alter the identity of individuals involved in the communication."
EFTA01649143,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,5,1,"The removal of specific names, particularly Jean Luc Brunel and Lex Wexner, suggests an attempt to obscure connections between individuals involved in the investigation."
EFTA01650682,10,NAME_REMOVAL,HIGH,SUSPICIOUS,2,5,1,"The removal of specific names and the addition of placeholder text suggests an intentional attempt to conceal identities, which is suspicious in a document related to a high-profile investigation."
EFTA01652458,10,NAME_REMOVAL,HIGH,SUSPICIOUS,27,29,1,"The removal of specific names, such as 'Jennifer Freeman', 'Angela Jackson', and 'David Boies', from the document appears to be an attempt to obscure connections between individuals involved in the Epstein case."
EFTA01652800,10,NAME_REMOVAL,HIGH,SUSPICIOUS,34,25,1,"The removal of specific names and content appears to be an attempt to obscure investigative connections, particularly those related to Epstein's associates and victims."
EFTA01655843,10,NAME_REMOVAL,HIGH,SUSPICIOUS,54,48,1,"The removal of specific names and email addresses from the document appears to be an attempt to obscure connections between individuals involved in the investigation, which is suspicious."
EFTA01656686,10,NAME_REMOVAL,HIGH,SUSPICIOUS,649,650,1,"The removal of specific account numbers and names appears to be an attempt to obscure connections between individuals and financial transactions, which could be relevant to the investigation."
EFTA01660401,10,NAME_REMOVAL,HIGH,SUSPICIOUS,4,6,1,"The removal of specific names and addition of seemingly unrelated text suggests an attempt to conceal identities or investigative connections."
EFTA01699802,10,NAME_REMOVAL,HIGH,SUSPICIOUS,1614,1602,1,"Multiple names and addresses were removed, potentially obscuring investigative connections or evidence scope."
EFTA01733713,10,NAME_REMOVAL,HIGH,SUSPICIOUS,3,2,1,"The removal and addition of names appear to be an attempt to conceal or alter the identities of individuals involved in the case, which could indicate a deliberate effort to obscure investigative connections."
EFTA01739405,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,6,1,"The removal of specific names, particularly Husham Osman and Claire Brugirard, suggests an attempt to conceal connections or relationships between individuals involved in the investigation."
EFTA01747067,10,NAME_REMOVAL,HIGH,SUSPICIOUS,7,8,1,"The removal and alteration of names, particularly 'Irina' and 'Jeffrey E.', suggests an attempt to conceal identities or connections in the investigation."
EFTA01750037,10,NAME_REMOVAL,HIGH,SUSPICIOUS,4,5,1,"The removal of specific names, particularly Jeffrey Epstein's, and the addition of a seemingly unrelated email address suggest an attempt to conceal or alter investigative connections."
EFTA01755753,10,NAME_REMOVAL,HIGH,SUSPICIOUS,11,14,1,"The removal of specific names, such as 'David Mitchell' and 'Lesley Groff', from the document suggests an attempt to conceal connections or relationships between individuals."
EFTA01758767,10,NAME_REMOVAL,HIGH,SUSPICIOUS,4,14,1,"The removal and re-addition of names appears to be an attempt to conceal connections between individuals, suggesting a deliberate effort to obscure investigative scope."
EFTA01759432,10,NAME_REMOVAL,HIGH,SUSPICIOUS,8,12,1,"The removal of specific names, such as 'Jeffrey Epstein', and the alteration of email addresses suggest an attempt to obscure connections or investigative scope."
EFTA01760783,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,6,1,"The removal of specific names, particularly Jeffrey Epstein's name, and the alteration of email addresses to obscure sender identities suggests an attempt to conceal investigative connections or evidence scope."
EFTA01763117,10,NAME_REMOVAL,HIGH,SUSPICIOUS,8,6,1,"The removal and alteration of names, dates, and email content suggests an attempt to obscure the identities and connections of individuals involved in the communication."
EFTA01763719,10,NAME_REMOVAL,HIGH,SUSPICIOUS,2,3,1,"The removal of specific names, particularly Jeffrey Epstein's, suggests an attempt to conceal connections or investigative scope."
EFTA01766806,10,NAME_REMOVAL,HIGH,SUSPICIOUS,3,2,1,"The removal of 'Kira D' and the addition of a seemingly unrelated character ('M') suggests an attempt to conceal identities or connections, which is suspicious in the context of an investigation."
EFTA01767146,10,NAME_REMOVAL,HIGH,SUSPICIOUS,8,7,1,"The removal of specific names (Kira, Ira, Irina) and alteration of the content suggests an attempt to obscure investigative connections or evidence scope."
EFTA01769282,10,NAME_REMOVAL,HIGH,SUSPICIOUS,3,4,1,"The removal of specific names and the addition of a seemingly unrelated number ('4 M') suggests an attempt to conceal identities or connections, which is suspicious in a law enforcement document."
EFTA01769535,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,4,1,"The removal of the recipient's name and email address, while adding a duplicate message with the same content, suggests an attempt to conceal communication details."
EFTA01769565,10,NAME_REMOVAL,HIGH,SUSPICIOUS,7,11,1,"The removal of specific names, such as 'Jeffrey', 'Reid', and 'Peter Mandelson', suggests an attempt to obscure connections or investigative scope."
EFTA01772719,10,NAME_REMOVAL,HIGH,SUSPICIOUS,8,6,1,"The removal of specific names, particularly Anastasiya's repeated mentions, suggests an attempt to conceal identities or connections in the investigation."
EFTA01773746,10,NAME_REMOVAL,HIGH,SUSPICIOUS,3,6,1,"The removal of specific names, such as 'Jeff-key Epstein' and 'Bobby', appears to be an attempt to obscure the identities of individuals involved in the case."
EFTA01778327,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,5,1,"The removal of specific names, such as 'Gulsum' and 'Jefffrey Epstein', suggests an attempt to conceal identities or connections in the investigation."
EFTA01788167,10,NAME_REMOVAL,HIGH,SUSPICIOUS,5,5,1,"The removal of multiple instances of Anastasiya Siro's name and email address, along with the addition of seemingly unrelated text, suggests an attempt to conceal or manipulate information."
EFTA01801448,10,NAME_REMOVAL,HIGH,SUSPICIOUS,2,3,1,"The removal of names appears to be an attempt to conceal identities, which could indicate a deliberate effort to obscure investigative connections or evidence scope."
EFTA01801843,10,NAME_REMOVAL,HIGH,SUSPICIOUS,6,5,1,"The removal of specific email addresses, particularly those associated with Jeffrey Epstein, suggests an attempt to conceal connections or investigative leads."
EFTA01802112,10,NAME_REMOVAL,HIGH,SUSPICIOUS,9,10,1,"The removal of specific names, such as 'Jeffrey Epstein' and 'Lesley Groff', suggests an attempt to obscure connections or investigative scope."
